1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER ALLLOWER FIRSTUPPER AND FIRSTUPPER","British Museum. Dept. of Coins and Medals"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER ALLLOWER MIXED COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER FIRSTUPPER MIXED","David Baillie Warden, Jean Baptiste Pierre Jullien Courcelles, Nicolas Viton de Saint-Allais, Agricole Joseph François Xavier Pierre Esprit Simon Paul Antoine Fortia d'Urban"
1,"FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER","Procope, François André Isambert"
1,"FIRSTUPPER ALLLOWER FIRSTUPPER COMMA FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER","Gregoire de Tours, Fredegaire, Alfred Jacobs, François-Pierre-Guillaume Guizot"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Jean Baptiste Glaire, [[Joseph-Alexis Walsh]], Joseph Chantrel, Orse, Edouard Alletz"
2,"FIRSTUPPER FIRSTUPPER COMMA INITIAL FIRSTUPPER","Thierry Lager, L. Teillard"
1,"FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER FIRSTUPPER COMMA FIRSTUPPER INITIAL FIRSTUPPER","Sylvanus Griswold Morley, George Walton Brainerd, Robert J. Sharer"
20,"FIRSTUPPER FIRSTUPPER COMMA MIXED FIRSTUPPER","Patrice Lopès, François-Xavier Poudat"
17,"MIXED FIRSTUPPER COMMA FIRSTUPPER FIRSTUPPER","Jean-Marie Guillon, Julie Manfredini"
1,"FIRSTUPPER FIRSTUPPER COMMA MIXED ALLLOWER FIRSTUPPER ALLLOWER FIRSTUPPER","Antoine Mongez, Constantin-François de Chasseboeuf de Volney"
994,"FIRSTUPPER FIRSTUPPER","Laurent Croizier"
5,"MIXED FIRSTUPPER AND ALLLOWER FIRSTUPPER","[[Louis-Étienne Charpillon]] et l'abbé Caresme"
